crossover_rate_subtree,crossover_rate_node_level,mutation_rate,tournament_size,experiment,generation,test_score,population
0.5,0.1,0.4,8,4,20,-385.788044250952,40
0.5,0.1,0.4,8,4,21,-385.788044250952,40
0.5,0.1,0.4,8,4,22,-397.5668987791103,40
0.5,0.1,0.4,8,4,23,-397.5668987791103,40
0.5,0.1,0.4,8,4,24,-397.5668987791103,40
0.5,0.1,0.4,8,4,25,-397.5668987791103,40
0.5,0.3,0.4,8,0,0,-3643.104748866329,40
0.5,0.3,0.4,8,0,1,-736.7873710444696,40
0.5,0.3,0.4,8,0,2,-863.4410386293416,40
0.5,0.3,0.4,8,0,3,-736.7873710444696,40
0.5,0.3,0.4,8,0,4,-736.7873710444696,40
0.5,0.3,0.4,8,0,5,-407.2038261707211,40
0.5,0.3,0.4,8,0,6,-338.02059351319707,40
0.5,0.3,0.4,8,0,7,-310.57249014539764,40
0.5,0.3,0.4,8,0,8,-310.57249014539764,40
0.5,0.3,0.4,8,0,9,-411.489402144619,40
0.5,0.3,0.4,8,0,10,-263.7134249421071,40
0.5,0.3,0.4,8,0,11,-402.6064223128239,40
0.5,0.3,0.4,8,0,12,-404.56467730794566,40
0.5,0.3,0.4,8,0,13,292.4984582032962,40
0.5,0.3,0.4,8,0,14,296.58494963794374,40
0.5,0.3,0.4,8,0,15,296.58494963794374,40
0.5,0.3,0.4,8,0,16,-158.2608883898057,40
0.5,0.3,0.4,8,0,17,-108.32078604090685,40
0.5,0.3,0.4,8,0,18,90.10674689192886,40
0.5,0.3,0.4,8,0,19,-230.67228549280753,40
0.5,0.3,0.4,8,0,20,78.11478972503807,40
0.5,0.3,0.4,8,0,21,-210.06745787255443,40
0.5,0.3,0.4,8,0,22,-684.371481017683,40
0.5,0.3,0.4,8,0,23,-149.1734460634416,40
0.5,0.3,0.4,8,0,24,-684.371481017683,40
0.5,0.3,0.4,8,0,25,-144.51387907725407,40
0.5,0.3,0.4,8,1,0,-1391.9509075312722,40
0.5,0.3,0.4,8,1,1,-1391.9509075312722,40
0.5,0.3,0.4,8,1,2,-1392.4777699036558,40
0.5,0.3,0.4,8,1,3,-1391.9509075312722,40
0.5,0.3,0.4,8,1,4,-1162.2399595895545,40
0.5,0.3,0.4,8,1,5,-990.2496239366621,40
0.5,0.3,0.4,8,1,6,-990.2496239366621,40
0.5,0.3,0.4,8,1,7,-990.2496239366621,40
0.5,0.3,0.4,8,1,8,-990.2496239366621,40
0.5,0.3,0.4,8,1,9,-811.1146953528453,40
0.5,0.3,0.4,8,1,10,-811.1146953528453,40
0.5,0.3,0.4,8,1,11,-811.1146953528453,40
0.5,0.3,0.4,8,1,12,-672.5361978509637,40
0.5,0.3,0.4,8,1,13,-672.5361978509637,40
0.5,0.3,0.4,8,1,14,-672.5361978509637,40
0.5,0.3,0.4,8,1,15,-672.5361978509637,40
0.5,0.3,0.4,8,1,16,-672.5361978509637,40
0.5,0.3,0.4,8,1,17,-672.5361978509637,40
0.5,0.3,0.4,8,1,18,-1476.8311825258284,40
0.5,0.3,0.4,8,1,19,-672.5361978509637,40
0.5,0.3,0.4,8,1,20,-1476.8311825258284,40
0.5,0.3,0.4,8,1,21,-672.5361978509637,40
0.5,0.3,0.4,8,1,22,-1443.0039983434353,40
0.5,0.3,0.4,8,1,23,-672.5361978509637,40
0.5,0.3,0.4,8,1,24,-672.5361978509637,40
0.5,0.3,0.4,8,1,25,-914.0856011464723,40
0.5,0.3,0.4,8,2,0,-937.1871603825396,40
0.5,0.3,0.4,8,2,1,-937.1871603825396,40
0.5,0.3,0.4,8,2,2,-876.0358927472524,40
0.5,0.3,0.4,8,2,3,-876.0358927472524,40
0.5,0.3,0.4,8,2,4,-931.9205960112139,40
0.5,0.3,0.4,8,2,5,-795.0847081782646,40
0.5,0.3,0.4,8,2,6,-341.1544757144065,40
0.5,0.3,0.4,8,2,7,-802.6843687320498,40
0.5,0.3,0.4,8,2,8,-801.889980473893,40
0.5,0.3,0.4,8,2,9,-972.2665510473774,40
0.5,0.3,0.4,8,2,10,-566.1950821026412,40
0.5,0.3,0.4,8,2,11,-676.3123118127895,40
0.5,0.3,0.4,8,2,12,-662.5523852666511,40
0.5,0.3,0.4,8,2,13,-801.889980473893,40
0.5,0.3,0.4,8,2,14,-662.5523852666511,40
0.5,0.3,0.4,8,2,15,-909.269396181284,40
0.5,0.3,0.4,8,2,16,-909.269396181284,40
0.5,0.3,0.4,8,2,17,-1057.645825060165,40
0.5,0.3,0.4,8,2,18,-807.6239183421508,40
0.5,0.3,0.4,8,2,19,-807.6239183421508,40
0.5,0.3,0.4,8,2,20,-707.3768099191266,40
0.5,0.3,0.4,8,2,21,-902.2249734836734,40
0.5,0.3,0.4,8,2,22,-569.3790549389105,40
0.5,0.3,0.4,8,2,23,-1152.4772475902444,40
0.5,0.3,0.4,8,2,24,-1224.5549774222727,40
0.5,0.3,0.4,8,2,25,-1154.261257703975,40
0.5,0.3,0.4,8,3,0,-2044.3955709027273,40
0.5,0.3,0.4,8,3,1,-1391.9509075312722,40
0.5,0.3,0.4,8,3,2,-1391.9509075312722,40
0.5,0.3,0.4,8,3,3,-1459.3866615108625,40
0.5,0.3,0.4,8,3,4,-1255.520417918913,40
0.5,0.3,0.4,8,3,5,-1164.8092185134374,40
0.5,0.3,0.4,8,3,6,-1396.7732730991822,40
0.5,0.3,0.4,8,3,7,-1396.7732730991822,40
0.5,0.3,0.4,8,3,8,-1396.7732730991822,40
0.5,0.3,0.4,8,3,9,-1302.3479597259445,40
0.5,0.3,0.4,8,3,10,-1110.97941317516,40
0.5,0.3,0.4,8,3,11,-1302.3479597259445,40
0.5,0.3,0.4,8,3,12,-1655.4231781601995,40
0.5,0.3,0.4,8,3,13,-1247.4457387887142,40
0.5,0.3,0.4,8,3,14,-1239.2215544142136,40
0.5,0.3,0.4,8,3,15,-1046.3929148981342,40
0.5,0.3,0.4,8,3,16,-938.0967741753335,40
0.5,0.3,0.4,8,3,17,-1124.3257889815613,40
0.5,0.3,0.4,8,3,18,-1121.56949670023,40
0.5,0.3,0.4,8,3,19,-1121.56949670023,40
0.5,0.3,0.4,8,3,20,-885.3887498342998,40
0.5,0.3,0.4,8,3,21,-1125.2961478795494,40
0.5,0.3,0.4,8,3,22,-1272.7625533375333,40
0.5,0.3,0.4,8,3,23,-1125.2961478795494,40
0.5,0.3,0.4,8,3,24,-1121.56949670023,40
0.5,0.3,0.4,8,3,25,-1121.56949670023,40
0.5,0.3,0.4,8,4,0,-1518.442256281032,40
0.5,0.3,0.4,8,4,1,-1518.442256281032,40
0.5,0.3,0.4,8,4,2,-918.6532063249106,40
0.5,0.3,0.4,8,4,3,-918.6532063249106,40
0.5,0.3,0.4,8,4,4,-918.6532063249106,40
0.5,0.3,0.4,8,4,5,-918.6532063249106,40
0.5,0.3,0.4,8,4,6,-666.1561240928529,40
0.5,0.3,0.4,8,4,7,-274.3581251146291,40
0.5,0.3,0.4,8,4,8,-630.8364932231594,40
0.5,0.3,0.4,8,4,9,-45.60106281391303,40
0.5,0.3,0.4,8,4,10,-45.60106281391303,40
0.5,0.3,0.4,8,4,11,-45.60106281391303,40
0.5,0.3,0.4,8,4,12,-609.6736783350043,40
0.5,0.3,0.4,8,4,13,-45.60106281391303,40
0.5,0.3,0.4,8,4,14,-45.60106281391303,40
0.5,0.3,0.4,8,4,15,-45.60106281391303,40
0.5,0.3,0.4,8,4,16,-43.57725159782112,40
0.5,0.3,0.4,8,4,17,-43.57725159782112,40
0.5,0.3,0.4,8,4,18,-43.57725159782112,40
0.5,0.3,0.4,8,4,19,-1093.169173164641,40
0.5,0.3,0.4,8,4,20,-1093.169173164641,40
0.5,0.3,0.4,8,4,21,-43.57725159782112,40
0.5,0.3,0.4,8,4,22,-726.0315506540718,40
0.5,0.3,0.4,8,4,23,-726.0315506540718,40
0.5,0.3,0.4,8,4,24,-726.0315506540718,40
0.5,0.3,0.4,8,4,25,-726.0315506540718,40
0.5,0.5,0.4,8,0,0,-1482.264164612594,40
0.5,0.5,0.4,8,0,1,-1182.6162792022085,40
0.5,0.5,0.4,8,0,2,-1073.6311187127317,40
0.5,0.5,0.4,8,0,3,-1079.4555356834826,40
0.5,0.5,0.4,8,0,4,-1073.6311187127317,40
0.5,0.5,0.4,8,0,5,-749.8640911365994,40
0.5,0.5,0.4,8,0,6,-625.4575510363818,40
0.5,0.5,0.4,8,0,7,-357.9261095710759,40
0.5,0.5,0.4,8,0,8,-357.9261095710759,40
0.5,0.5,0.4,8,0,9,-31.69541078903781,40
0.5,0.5,0.4,8,0,10,-138.35301602709913,40
0.5,0.5,0.4,8,0,11,-31.69541078903781,40
0.5,0.5,0.4,8,0,12,146.8532096282596,40
0.5,0.5,0.4,8,0,13,13.906353353855508,40
0.5,0.5,0.4,8,0,14,-75.26570779458099,40
0.5,0.5,0.4,8,0,15,13.906353353855508,40
0.5,0.5,0.4,8,0,16,218.84860965613063,40
0.5,0.5,0.4,8,0,17,218.84860965613063,40
0.5,0.5,0.4,8,0,18,177.27618648011833,40
0.5,0.5,0.4,8,0,19,227.6794010604384,40
0.5,0.5,0.4,8,0,20,166.47928896407285,40
0.5,0.5,0.4,8,0,21,199.96951800821535,40
0.5,0.5,0.4,8,0,22,87.73519467087519,40
0.5,0.5,0.4,8,0,23,454.4177956124207,40
0.5,0.5,0.4,8,0,24,486.6957813729347,40
0.5,0.5,0.4,8,0,25,737.1808955095178,40
0.5,0.5,0.4,8,1,0,-2265.312990360237,40
